Player,Age,Team,Pos,MIN,Usage,"",PSA,"","AST%","","AST:Usg","","TOV%",""
"Gary Clark",24.9,HOU,Big,185,13,"12.2%",15,105.5,33,"7.4%",61,0.61,100,"3.8%"
"Gary Clark",24.9,ORL,Wing,157,1,"8.9%",25,102.8,0,"1.0%",0,0.11,99,"6.0%"
"Brandon Clarke",23.1,MEM,Big,1044,50,"16.0%",92,135.5,61,"9.7%",62,0.61,81,"10.5%"
"Jordan Clarkson",27.4,CLE,Wing,654,93,"25.8%",83,120.1,93,"18.8%",70,0.73,64,"10.1%"
"Jordan Clarkson",27.4,UTA,Wing,723,89,"24.4%",79,118.3,42,"9.6%",10,0.39,80,"8.5%"
"Nicolas Claxton",20.5,BKN,Big,157,29,"13.7%",35,111.1,83,"13.3%",94,0.97,71,"12.0%"
"Chris Clemons",22.2,HOU,Combo,175,48,"20.0%",25,98.7,11,"11.4%",7,0.57,97,"7.4%"
"John Collins",22.1,ATL,Big,1163,77,"19.8%",87,132.5,38,"7.8%",18,0.39,75,"11.7%"
"Mike Conley",32.0,UTA,Point,1008,54,"24.7%",24,104.3,26,"22.7%",15,0.92,70,"11.6%"
"Pat Connaughton",26.8,MIL,Wing,881,8,"11.2%",64,113.4,43,"9.7%",86,0.86,17,"14.2%"
"Quinn Cook",26.6,LAL,Combo,310,36,"18.8%",39,102.5,25,"13.8%",26,0.73,34,"13.1%"
"Robert Covington",28.8,MIN,Forward,1406,55,"16.1%",67,115.1,10,"5.8%",13,0.36,25,"13.5%"
"Robert Covington",28.8,HOU,Big,289,41,"15.2%",38,111.8,17,"5.8%",13,0.38,79,"11.0%"
"Allen Crabbe",27.5,ATL,Wing,495,11,"11.5%",13,94.7,25,"7.9%",63,0.68,84,"8.0%"
"Allen Crabbe",27.5,MIN,Wing,131,9,"11.3%",1,78.8,11,"5.4%",21,0.48,18,"14.1%"
"Torrey Craig",28.8,DEN,Wing,773,6,"10.8%",57,111.9,10,"5.4%",24,0.50,63,"10.1%"
