Player,Age,Team,Pos,MIN,"eFG%","",Rim,"","Short Mid","","Long Mid","","All Mid","","Corner Three","","Non Corner","","All Three",""
"Jerome Robinson",22.6,WAS,Wing,196,10,"44.1%",39,"23%",44,"13%",91,"21%",84,"34%",70,"18%",30,"25%",44,"43%"
"Jerome Robinson",22.6,LAC,Wing,380,0,"31.9%",30,"18%",67,"17%",69,"13%",71,"31%",57,"14%",61,"37%",63,"51%"
"Mitchell Robinson",21.5,NYK,Big,1218,99,"73.3%",100,"96%",4,"4%",0,"0%",1,"4%",0,"0%",0,"0%",0,"0%"
"Glenn Robinson III",25.8,GSW,Wing,1488,70,"54.8%",46,"26%",81,"21%",90,"21%",93,"42%",50,"12%",19,"20%",18,"32%"
"Glenn Robinson III",25.8,PHI,Forward,147,74,"55.5%",79,"42%",41,"14%",89,"18%",77,"32%",27,"9%",11,"18%",9,"26%"
"Rajon Rondo",33.6,LAL,Point,913,38,"50.0%",77,"38%",32,"15%",38,"11%",19,"26%",81,"8%",47,"28%",49,"36%"
"Derrick Rose",31.0,DET,Point,1279,57,"51.8%",81,"39%",87,"28%",57,"15%",83,"44%",11,"2%",13,"15%",11,"18%"
"Terrence Ross",28.7,ORL,Wing,1583,38,"50.2%",10,"11%",32,"11%",90,"20%",75,"31%",10,"5%",94,"53%",75,"58%"
"Terry Rozier",25.6,CHA,Combo,2018,61,"50.6%",45,"28%",48,"18%",50,"10%",45,"29%",65,"9%",63,"34%",65,"43%"
"Ricky Rubio",29.0,PHX,Point,1679,15,"46.7%",60,"29%",66,"22%",72,"21%",79,"43%",74,"8%",26,"20%",30,"28%"
"D'Angelo Russell",23.6,MIN,Point,264,77,"53.7%",9,"15%",23,"13%",85,"23%",51,"37%",28,"4%",87,"44%",83,"48%"
"D'Angelo Russell",23.6,GSW,Combo,1044,79,"53.0%",2,"8%",85,"27%",79,"19%",97,"45%",21,"5%",84,"42%",74,"46%"
"Domantas Sabonis",23.4,IND,Big,1983,50,"55.1%",69,"61%",57,"18%",83,"14%",74,"32%",21,"1%",32,"6%",30,"7%"
"JaKarr Sampson",26.6,IND,Big,246,74,"59.6%",67,"61%",40,"15%",42,"3%",33,"19%",84,"15%",31,"5%",47,"20%"
"Dario Saric",25.5,PHX,Big,1321,32,"52.8%",35,"38%",24,"12%",64,"7%",35,"19%",66,"8%",80,"35%",76,"43%"
"Tomas Satoransky",28.0,CHI,Combo,1763,50,"49.3%",66,"36%",71,"23%",32,"7%",50,"29%",77,"11%",26,"24%",35,"34%"
"Admiral Schofield",22.5,WAS,Forward,240,34,"49.1%",33,"28%",21,"7%",0,"0%",4,"7%",91,"23%",86,"42%",90,"65%"
"Dennis Schroder",26.1,OKC,Combo,1832,84,"53.9%",47,"28%",42,"17%",94,"23%",79,"39%",15,"3%",44,"29%",27,"32%"
"Mike Scott",31.2,PHI,Big,1009,35,"53.0%",5,"19%",18,"10%",58,"6%",23,"16%",89,"18%",94,"47%",93,"65%"
"Thabo Sefolosha",35.4,HOU,Big,399,6,"45.1%",18,"27%",11,"7%",67,"7%",20,"14%",96,"27%",75,"33%",89,"59%"
"Collin Sexton",20.8,CLE,Point,1930,51,"51.4%",79,"38%",85,"28%",43,"11%",66,"40%",15,"3%",21,"19%",15,"22%"
"Landry Shamet",22.6,LAC,Combo,1194,92,"57.3%",5,"14%",6,"7%",21,"5%",3,"11%",100,"21%",97,"54%",97,"75%"
"Iman Shumpert",29.3,BKN,Forward,239,3,"37.3%",10,"19%",13,"6%",96,"25%",76,"31%",60,"14%",77,"36%",73,"50%"
"Pascal Siakam",25.5,TOR,Forward,1753,49,"52.1%",74,"41%",79,"21%",64,"9%",71,"30%",19,"7%",20,"22%",13,"29%"
"Chris Silva",23.1,MIA,Big,248,72,"58.9%",91,"81%",40,"15%",36,"3%",28,"18%",32,"1%",0,"0%",19,"1%"
"Ben Simmons",23.2,PHI,Point,1928,96,"58.5%",100,"72%",72,"25%",6,"2%",26,"28%",0,"0%",0,"0%",0,"0%"
"Anfernee Simons",20.3,POR,Combo,1252,44,"48.8%",40,"25%",52,"18%",73,"16%",66,"35%",53,"8%",55,"32%",47,"40%"
"Alen Smailagic",19.2,GSW,Big,116,60,"56.6%",50,"47%",71,"22%",63,"7%",68,"29%",68,"9%",48,"16%",52,"24%"
"Marcus Smart",25.6,BOS,Combo,1575,47,"48.9%",10,"15%",58,"21%",37,"7%",44,"28%",63,"9%",90,"48%",90,"57%"
"Ish Smith",31.3,WAS,Point,1504,40,"50.1%",62,"30%",43,"19%",91,"26%",87,"45%",70,"8%",19,"17%",21,"25%"
"Dennis Smith Jr.",21.9,NYK,Point,523,2,"38.4%",74,"38%",36,"17%",77,"22%",62,"38%",36,"4%",23,"19%",19,"24%"
"Tony Snell",27.9,DET,Wing,1513,92,"59.1%",11,"13%",42,"13%",44,"8%",39,"21%",92,"26%",72,"40%",90,"66%"
"Omari Spellman",22.2,GSW,Big,794,28,"52.3%",36,"39%",30,"14%",86,"15%",65,"29%",57,"7%",66,"26%",59,"32%"
"Edmond Sumner",23.8,IND,Wing,256,30,"48.6%",95,"54%",61,"17%",15,"3%",35,"19%",26,"8%",15,"19%",10,"27%"
"Caleb Swanigan",22.5,POR,Big,203,70,"58.8%",77,"67%",85,"28%",36,"3%",71,"31%",37,"3%",0,"0%",24,"3%"
"Jayson Tatum",21.6,BOS,Forward,1891,54,"52.7%",56,"33%",70,"20%",76,"13%",79,"32%",17,"7%",47,"27%",30,"34%"
"Jeff Teague",31.3,ATL,Combo,424,11,"41.3%",60,"34%",98,"37%",58,"13%",98,"51%",3,"1%",6,"14%",2,"15%"
"Jeff Teague",31.3,MIN,Combo,936,55,"50.0%",71,"37%",95,"33%",29,"6%",77,"39%",6,"2%",18,"22%",8,"24%"
"Garrett Temple",33.4,BKN,Wing,1536,33,"49.1%",37,"22%",14,"7%",40,"7%",16,"14%",81,"21%",79,"43%",87,"64%"
"Daniel Theis",27.5,BOS,Big,1267,72,"59.1%",63,"57%",57,"18%",53,"5%",49,"23%",38,"3%",50,"17%",45,"20%"
"Isaiah Thomas",30.7,WAS,Point,921,36,"49.6%",6,"11%",68,"23%",87,"23%",94,"46%",55,"5%",74,"37%",70,"43%"
"Matt Thomas",25.2,TOR,Wing,255,99,"66.9%",3,"6%",22,"9%",86,"18%",50,"26%",89,"24%",82,"44%",92,"68%"
"Tristan Thompson",28.6,CLE,Big,1658,26,"52.1%",64,"58%",97,"36%",35,"3%",85,"38%",23,"1%",28,"3%",25,"3%"
"Matisse Thybulle",22.6,PHI,Wing,1034,49,"51.4%",59,"31%",12,"7%",21,"3%",9,"10%",74,"20%",70,"39%",76,"59%"
"Anthony Tolliver",34.4,POR,Big,514,29,"52.4%",12,"22%",3,"4%",25,"2%",4,"5%",94,"22%",98,"50%",96,"72%"
"Juan Toscano-Anderson",26.5,GSW,Wing,205,46,"51.1%",93,"53%",20,"9%",25,"4%",15,"13%",40,"11%",24,"23%",26,"34%"
"Karl-Anthony Towns",23.9,MIN,Big,1181,77,"60.1%",37,"39%",35,"14%",55,"5%",38,"20%",45,"4%",85,"37%",75,"41%"
"Gary Trent Jr.",20.7,POR,Wing,923,77,"55.9%",15,"15%",38,"12%",82,"16%",61,"28%",68,"17%",70,"39%",72,"56%"
"Allonzo Trier",23.7,NYK,Combo,199,94,"59.0%",37,"25%",16,"9%",87,"20%",48,"29%",50,"8%",74,"38%",71,"46%"
"PJ Tucker",34.4,HOU,Big,2060,62,"56.8%",6,"19%",21,"11%",40,"3%",19,"14%",100,"52%",45,"14%",94,"66%"
"Evan Turner",31.0,ATL,Wing,234,2,"36.9%",65,"34%",100,"37%",94,"23%",100,"60%",1,"3%",2,"3%",0,"6%"
"Myles Turner",23.6,IND,Big,1488,30,"52.4%",23,"31%",55,"18%",81,"11%",67,"29%",57,"7%",78,"34%",75,"41%"
"Jonas Valanciunas",27.4,MEM,Big,1492,77,"60.1%",53,"50%",96,"35%",45,"4%",87,"39%",33,"2%",39,"10%",35,"12%"
"Denzel Valentine",25.9,CHI,Wing,355,63,"53.6%",1,"5%",90,"25%",52,"10%",83,"34%",38,"10%",93,"50%",81,"60%"
"Fred VanVleet",25.6,TOR,Combo,1712,63,"50.6%",76,"38%",15,"9%",44,"8%",13,"17%",48,"8%",69,"37%",68,"45%"
"Noah Vonleh",24.1,MIN,Big,327,60,"56.6%",67,"61%",68,"22%",40,"3%",57,"25%",36,"2%",42,"12%",36,"14%"
"Nikola Vucevic",29.0,ORL,Big,1613,22,"51.3%",26,"32%",91,"30%",81,"11%",92,"41%",28,"1%",67,"26%",55,"27%"
"Moritz Wagner",22.5,WAS,Big,601,83,"61.8%",65,"60%",17,"10%",16,"1%",13,"11%",45,"5%",64,"25%",57,"29%"
"Kemba Walker",29.4,BOS,Point,1488,70,"52.7%",47,"26%",19,"13%",45,"12%",13,"24%",9,"2%",96,"48%",87,"50%"
"Lonnie Walker",20.8,SAS,Wing,685,55,"52.6%",78,"41%",68,"18%",84,"17%",82,"34%",27,"8%",10,"17%",10,"25%"
"Tyrone Wallace",25.3,ATL,Combo,130,0,"34.3%",97,"50%",50,"18%",24,"5%",31,"24%",74,"11%",10,"16%",16,"26%"
"Derrick Walton Jr.",24.5,LAC,Point,161,100,"73.1%",4,"11%",0,"4%",98,"29%",38,"32%",100,"21%",70,"36%",94,"57%"
"Brad Wanamaker",30.2,BOS,Combo,1043,48,"49.3%",81,"39%",84,"27%",45,"10%",71,"37%",0,"1%",21,"23%",10,"24%"
"TJ Warren",26.1,IND,Forward,1876,83,"57.5%",51,"32%",93,"29%",93,"18%",93,"47%",33,"10%",4,"10%",4,"20%"
"PJ Washington",21.1,CHA,Big,1602,31,"52.7%",45,"43%",66,"21%",27,"2%",45,"22%",71,"9%",65,"25%",64,"35%"
"Russell Westbrook",30.9,HOU,Point,1794,28,"49.3%",94,"48%",40,"18%",68,"19%",53,"37%",21,"3%",4,"12%",6,"16%"
"Coby White",19.7,CHI,Combo,1486,32,"48.2%",55,"31%",21,"11%",56,"12%",27,"23%",37,"7%",79,"40%",73,"46%"
"Derrick White",25.3,SAS,Combo,1346,74,"52.6%",63,"35%",76,"23%",55,"11%",65,"34%",27,"5%",31,"25%",23,"30%"
"Hassan Whiteside",30.3,POR,Big,1764,81,"61.3%",70,"62%",89,"29%",74,"9%",83,"38%",0,"0%",21,"1%",16,"1%"
"Andrew Wiggins",24.6,GSW,Forward,293,53,"52.6%",59,"37%",71,"20%",83,"15%",84,"35%",4,"3%",39,"25%",11,"28%"
"Andrew Wiggins",24.6,MIN,Wing,1443,40,"50.4%",64,"34%",88,"24%",60,"11%",85,"35%",9,"4%",37,"27%",16,"31%"
"Grant Williams",20.9,BOS,Big,847,10,"48.4%",41,"41%",43,"16%",43,"3%",37,"19%",92,"20%",57,"20%",70,"40%"
"Johnathan Williams",24.4,WAS,Big,113,86,"63.2%",62,"57%",60,"19%",95,"19%",84,"38%",48,"5%",0,"0%",28,"5%"
"Kenrich Williams",24.9,NOP,Big,756,3,"44.2%",16,"25%",8,"6%",19,"1%",6,"8%",97,"32%",82,"35%",94,"67%"
"Lou Williams",33.0,LAC,Combo,1671,34,"48.5%",34,"24%",81,"25%",90,"20%",94,"45%",40,"7%",23,"23%",24,"31%"
"Marvin Williams",33.3,CHA,Big,804,52,"55.8%",3,"17%",77,"24%",50,"4%",65,"29%",90,"18%",83,"36%",86,"54%"
"Marvin Williams",33.3,MIL,Big,122,45,"54.3%",10,"22%",4,"4%",0,"0%",2,"4%",99,"43%",72,"30%",98,"74%"
"Robert Williams",22.0,BOS,Big,270,96,"68.6%",93,"85%",14,"9%",56,"5%",21,"15%",0,"0%",0,"0%",0,"0%"
"Zion Williamson",19.3,NOP,Big,460,75,"59.7%",96,"88%",10,"7%",19,"1%",8,"8%",18,"0%",30,"4%",26,"4%"
"D.J. Wilson",23.6,MIL,Big,133,33,"52.9%",18,"26%",6,"6%",57,"6%",14,"11%",88,"17%",92,"46%",91,"63%"
"Justise Winslow",23.6,MIA,Combo,338,6,"40.3%",65,"36%",94,"33%",53,"11%",89,"44%",34,"6%",8,"14%",6,"20%"
"Christian Wood",24.0,DET,Big,1122,78,"60.1%",57,"53%",48,"17%",62,"6%",52,"24%",63,"8%",49,"16%",50,"23%"
"Delon Wright",27.5,DAL,Combo,1251,69,"52.1%",92,"48%",66,"23%",15,"4%",35,"26%",24,"5%",15,"21%",15,"26%"
"Thaddeus Young",31.3,CHI,Big,1472,24,"51.7%",36,"39%",69,"22%",46,"4%",59,"25%",86,"16%",56,"19%",65,"35%"
"Trae Young",21.1,ATL,Point,1973,53,"51.4%",19,"21%",79,"27%",30,"10%",55,"37%",2,"1%",81,"40%",68,"42%"
"Cody Zeller",27.0,CHA,Big,1234,42,"54.1%",79,"68%",47,"17%",11,"1%",28,"17%",26,"1%",44,"14%",37,"14%"
"Ante Zizic",22.8,CLE,Big,152,79,"60.9%",77,"67%",95,"33%",0,"0%",76,"33%",0,"0%",0,"0%",0,"0%"
"Ivica Zubac",22.6,LAC,Big,1085,73,"59.1%",87,"77%",50,"17%",52,"5%",45,"22%",0,"0%",18,"1%",11,"1%"
