Player,Age,Team,Pos,MIN,"eFG%","",Rim,"","Short Mid","","Long Mid","","All Mid","","Corner Three","","Non Corner","","All Three",""
"Sterling Brown",24.7,MIL,Wing,524,28,"48.1%",67,"35%",27,"10%",43,"7%",27,"17%",75,"20%",42,"29%",54,"49%"
"Troy Brown",20.2,WAS,Wing,1325,47,"51.2%",71,"37%",75,"20%",85,"17%",88,"36%",28,"8%",14,"19%",11,"27%"
"Jalen Brunson",23.1,DAL,Point,954,45,"50.5%",34,"25%",94,"29%",62,"17%",91,"46%",68,"7%",34,"22%",36,"30%"
"Thomas Bryant",22.2,WAS,Big,830,87,"63.9%",58,"53%",37,"15%",92,"16%",72,"31%",34,"2%",45,"14%",40,"16%"
"Reggie Bullock",28.6,NYK,Wing,611,29,"48.3%",28,"18%",25,"9%",96,"24%",80,"33%",62,"15%",53,"34%",55,"49%"
"Trey Burke",26.9,PHI,Point,273,85,"54.6%",66,"33%",26,"14%",94,"27%",70,"41%",45,"5%",28,"21%",23,"26%"
"Alec Burks",28.2,PHI,Combo,164,18,"44.6%",44,"26%",40,"16%",76,"17%",60,"33%",58,"9%",58,"32%",53,"41%"
"Alec Burks",28.2,GSW,Wing,1368,27,"48.0%",52,"29%",84,"22%",78,"16%",90,"38%",15,"6%",36,"27%",21,"33%"
"Deonte Burton",25.7,OKC,Forward,219,0,"33.6%",84,"45%",29,"9%",47,"5%",27,"14%",51,"13%",49,"28%",51,"41%"
"Jimmy Butler",30.1,MIA,Wing,1737,25,"47.9%",81,"42%",98,"31%",70,"13%",96,"45%",3,"3%",3,"10%",1,"13%"
"Bruno Caboclo",24.1,MEM,Big,150,3,"44.3%",56,"52%",22,"11%",68,"7%",30,"19%",84,"15%",46,"15%",58,"30%"
"Kentavious Caldwell-Pope",26.6,LAL,Wing,1503,74,"55.5%",53,"29%",39,"12%",71,"14%",49,"26%",70,"19%",35,"26%",48,"45%"
"Clint Capela",25.4,HOU,Big,1265,84,"62.3%",91,"81%",58,"18%",11,"0%",31,"19%",0,"0%",0,"0%",0,"0%"
"DeMarre Carroll",33.2,SAS,Forward,105,9,"42.5%",39,"29%",99,"33%",0,"0%",81,"33%",23,"8%",51,"29%",39,"38%"
"Jevon Carter",24.1,PHX,Combo,617,87,"54.5%",26,"21%",13,"9%",69,"15%",32,"24%",94,"17%",73,"38%",85,"55%"
"Vince Carter",42.7,ATL,Big,774,5,"44.9%",0,"10%",45,"16%",79,"10%",62,"27%",80,"14%",97,"50%",92,"63%"
"Wendell Carter",20.5,CHI,Big,1148,41,"53.9%",75,"66%",65,"20%",60,"6%",61,"26%",40,"3%",31,"4%",30,"8%"
"Michael Carter-Williams",28.0,ORL,Combo,665,15,"44.0%",90,"48%",77,"24%",19,"4%",42,"28%",35,"6%",13,"18%",11,"24%"
"Alex Caruso",25.6,LAL,Combo,926,55,"50.0%",84,"41%",31,"14%",42,"8%",26,"22%",89,"14%",24,"24%",45,"38%"
"Willie Cauley-Stein",26.2,GSW,Big,918,54,"55.9%",66,"61%",78,"25%",84,"14%",89,"39%",0,"0%",0,"0%",0,"0%"
"Tyson Chandler",37.0,HOU,Big,219,100,"76.5%",99,"95%",5,"5%",0,"0%",3,"5%",0,"0%",0,"0%",0,"0%"
"Wilson Chandler",32.4,BKN,Big,638,26,"52.2%",2,"15%",55,"18%",52,"5%",46,"23%",86,"16%",93,"46%",91,"62%"
"Chris Chiozza",23.9,WAS,Point,102,0,"35.2%",40,"26%",13,"11%",66,"19%",28,"30%",26,"4%",85,"41%",79,"44%"
"Marquese Chriss",22.3,GSW,Big,1044,64,"56.9%",83,"72%",38,"15%",47,"4%",35,"19%",30,"1%",35,"8%",32,"9%"
"Gary Clark",24.9,ORL,Wing,186,56,"52.6%",16,"15%",1,"3%",0,"0%",0,"3%",94,"28%",95,"54%",100,"82%"
"Gary Clark",24.9,HOU,Big,185,21,"51.0%",1,"13%",3,"4%",0,"0%",1,"4%",97,"28%",99,"56%",100,"83%"
"Brandon Clarke",23.1,MEM,Big,1044,89,"64.9%",59,"56%",87,"29%",48,"4%",75,"33%",52,"5%",33,"7%",36,"12%"
"Jordan Clarkson",27.4,UTA,Wing,748,89,"57.6%",43,"25%",95,"27%",23,"4%",76,"31%",58,"14%",44,"30%",46,"44%"
"Jordan Clarkson",27.4,CLE,Wing,654,64,"53.8%",51,"29%",72,"19%",38,"6%",48,"25%",31,"9%",66,"38%",50,"46%"
"Nicolas Claxton",20.5,BKN,Big,157,57,"56.2%",69,"61%",73,"23%",0,"0%",48,"23%",69,"9%",34,"7%",40,"16%"
"Chris Clemons",22.2,HOU,Combo,175,39,"48.7%",16,"19%",2,"3%",11,"3%",0,"5%",2,"1%",100,"75%",98,"76%"
"John Collins",22.1,ATL,Big,1194,86,"63.0%",58,"53%",52,"17%",61,"6%",53,"24%",41,"3%",55,"19%",49,"23%"
"Mike Conley",32.0,UTA,Point,1038,19,"47.2%",13,"19%",98,"32%",32,"10%",74,"42%",91,"9%",55,"30%",57,"39%"
"Pat Connaughton",26.8,MIL,Wing,923,73,"55.5%",75,"38%",9,"6%",13,"2%",3,"8%",21,"7%",90,"47%",68,"54%"
"Quinn Cook",26.6,LAL,Combo,322,60,"50.4%",23,"20%",27,"13%",100,"27%",81,"40%",85,"13%",34,"27%",48,"40%"
"Robert Covington",28.8,HOU,Big,323,50,"55.4%",8,"20%",1,"3%",15,"1%",0,"4%",92,"19%",99,"57%",99,"76%"
"Robert Covington",28.8,MIN,Forward,1406,70,"54.9%",29,"28%",27,"9%",36,"4%",24,"12%",11,"6%",94,"54%",81,"60%"
"Allen Crabbe",27.5,MIN,Wing,131,4,"39.1%",10,"12%",10,"6%",50,"9%",21,"15%",100,"39%",50,"33%",94,"73%"
"Allen Crabbe",27.5,ATL,Wing,495,16,"45.8%",9,"11%",45,"14%",67,"13%",51,"26%",66,"16%",91,"47%",86,"63%"
"Torrey Craig",28.8,DEN,Wing,789,81,"56.6%",72,"37%",27,"10%",20,"3%",14,"13%",83,"22%",42,"29%",57,"50%"
"Jae Crowder",29.3,MEM,Forward,1316,26,"47.0%",23,"24%",16,"6%",59,"6%",26,"13%",41,"12%",91,"52%",87,"64%"
"Jae Crowder",29.3,MIA,Big,298,91,"65.6%",11,"22%",0,"2%",38,"3%",3,"5%",94,"24%",97,"49%",97,"73%"
"Jarrett Culver",20.6,MIN,Combo,1348,16,"44.4%",95,"50%",29,"13%",10,"3%",11,"16%",39,"7%",37,"27%",34,"34%"
"Seth Curry",29.1,DAL,Combo,1348,97,"61.8%",3,"12%",45,"18%",66,"15%",56,"33%",76,"11%",89,"45%",87,"55%"
"Stephen Curry",31.6,GSW,Point,112,47,"50.8%",45,"26%",9,"10%",53,"14%",15,"25%",87,"9%",83,"41%",85,"49%"
"Troy Daniels",28.2,LAL,Wing,373,51,"52.1%",6,"8%",33,"11%",75,"15%",50,"26%",78,"21%",85,"45%",90,"66%"
"Anthony Davis",26.6,LAL,Big,1783,49,"55.0%",44,"42%",74,"23%",94,"18%",91,"41%",43,"4%",43,"13%",41,"17%"
"Ed Davis",30.4,UTA,Big,240,2,"41.4%",73,"63%",95,"33%",42,"3%",81,"37%",0,"0%",0,"0%",0,"0%"
"Terence Davis",22.4,TOR,Combo,984,90,"56.1%",56,"33%",8,"8%",5,"2%",2,"10%",92,"15%",82,"42%",92,"57%"
"Dewayne Dedmon",30.2,ATL,Big,137,8,"47.7%",32,"35%",33,"14%",51,"5%",31,"19%",81,"14%",75,"33%",80,"47%"
"Dewayne Dedmon",30.2,SAC,Big,519,4,"44.4%",33,"37%",43,"15%",70,"8%",50,"23%",56,"7%",77,"33%",72,"40%"
"Matthew Dellavedova",29.1,CLE,Combo,646,8,"40.7%",6,"14%",97,"34%",8,"2%",69,"36%",56,"9%",81,"41%",81,"50%"
"DeMar DeRozan",30.2,SAS,Forward,1973,57,"53.1%",50,"32%",100,"38%",99,"26%",100,"65%",0,"1%",0,"2%",0,"3%"
"Cheick Diallo",23.1,PHX,Big,359,88,"64.6%",80,"69%",59,"19%",82,"12%",70,"30%",28,"1%",0,"0%",17,"1%"
"Hamidou Diallo",21.2,OKC,Wing,610,17,"46.1%",97,"57%",85,"23%",36,"6%",64,"28%",50,"12%",1,"2%",2,"15%"
"Gorgui Dieng",29.7,MEM,Big,153,57,"56.2%",30,"33%",62,"20%",70,"8%",62,"27%",81,"14%",65,"25%",69,"39%"
"Gorgui Dieng",29.7,MIN,Big,762,39,"53.8%",31,"35%",34,"14%",80,"11%",57,"25%",73,"10%",72,"31%",73,"40%"
"Spencer Dinwiddie",26.5,BKN,Combo,1874,29,"48.1%",77,"38%",68,"23%",23,"5%",39,"28%",29,"5%",42,"29%",32,"34%"
"Donte DiVincenzo",22.7,MIL,Combo,1237,85,"54.1%",85,"42%",5,"6%",31,"6%",6,"12%",42,"7%",71,"38%",69,"45%"
"Luka Doncic",20.6,DAL,Wing,1612,66,"54.0%",61,"32%",89,"24%",24,"4%",63,"28%",0,"1%",68,"38%",38,"39%"
"Luguentz Dort",20.5,OKC,Wing,539,30,"48.5%",79,"41%",41,"13%",0,"0%",13,"13%",82,"22%",29,"24%",50,"46%"
"Damyean Dotson",25.4,NYK,Wing,740,54,"52.5%",13,"15%",13,"7%",95,"23%",69,"30%",29,"8%",89,"47%",71,"55%"
"Sekou Doumbouya",18.8,DET,Forward,633,16,"44.6%",76,"41%",40,"14%",50,"6%",37,"19%",63,"15%",36,"25%",49,"39%"
"PJ Dozier",23.0,DEN,Wing,208,19,"47.3%",57,"31%",92,"26%",77,"16%",92,"42%",5,"4%",23,"23%",12,"27%"
"Goran Dragic",33.4,MIA,Point,1383,79,"54.2%",30,"24%",47,"19%",49,"13%",40,"32%",79,"8%",68,"36%",74,"44%"
"Andre Drummond",26.2,CLE,Big,153,42,"53.9%",81,"70%",30,"14%",18,"1%",21,"15%",54,"6%",36,"9%",39,"15%"
"Andre Drummond",26.2,DET,Big,1635,37,"53.5%",81,"70%",84,"27%",16,"1%",64,"28%",19,"1%",25,"2%",23,"2%"
"Jared Dudley",34.3,LAL,Big,229,75,"60.0%",7,"20%",1,"2%",53,"5%",5,"8%",95,"25%",95,"48%",97,"72%"
"Kris Dunn",25.6,CHI,Point,1254,32,"49.4%",87,"42%",60,"21%",9,"5%",21,"27%",83,"9%",36,"23%",40,"31%"
"Carsen Edwards",21.6,BOS,Combo,247,10,"41.0%",13,"18%",11,"9%",71,"15%",34,"24%",45,"8%",94,"50%",94,"58%"
"Wayne Ellington",31.9,NYK,Combo,443,53,"49.6%",0,"6%",0,"1%",52,"10%",5,"12%",69,"10%",98,"72%",100,"82%"
"Joel Embiid",25.6,PHI,Big,1299,21,"51.0%",30,"33%",84,"27%",97,"21%",99,"47%",27,"1%",53,"19%",45,"19%"
"James Ennis",29.3,ORL,Wing,184,32,"49.0%",90,"51%",3,"3%",41,"7%",10,"10%",20,"7%",50,"32%",37,"39%"
"James Ennis",29.3,PHI,Wing,749,58,"53.0%",86,"44%",26,"9%",15,"3%",11,"12%",77,"21%",26,"24%",47,"44%"
"Jacob Evans",22.3,GSW,Wing,377,1,"36.4%",32,"19%",82,"21%",100,"35%",99,"56%",22,"7%",10,"17%",9,"25%"
"Dante Exum",24.3,CLE,Wing,382,83,"56.6%",92,"52%",51,"15%",6,"1%",25,"16%",35,"9%",21,"22%",17,"32%"
"Derrick Favors",28.2,NOP,Big,1006,84,"62.9%",86,"75%",49,"17%",58,"6%",50,"23%",31,"1%",17,"0%",21,"2%"
"Cristiano Felicio",27.3,CHI,Big,373,85,"63.0%",92,"83%",26,"13%",21,"2%",19,"14%",0,"0%",28,"3%",25,"3%"
"Terrance Ferguson",21.4,OKC,Wing,1100,34,"49.5%",16,"15%",1,"3%",33,"6%",4,"8%",99,"36%",74,"41%",96,"76%"
"Bruno Fernando",21.2,ATL,Big,605,52,"55.5%",74,"65%",52,"17%",17,"1%",30,"18%",61,"8%",36,"9%",42,"17%"
"Yogi Ferrell",26.4,SAC,Point,428,17,"46.7%",21,"23%",34,"15%",96,"28%",81,"43%",77,"8%",43,"26%",47,"34%"
"Dorian Finney-Smith",26.4,DAL,Forward,1838,87,"57.9%",61,"38%",9,"5%",29,"2%",10,"8%",96,"28%",40,"26%",80,"54%"
"Bryn Forbes",26.2,SAS,Wing,1488,68,"54.2%",5,"8%",35,"12%",80,"16%",55,"27%",19,"7%",97,"58%",88,"65%"
"Evan Fournier",27.0,ORL,Wing,1888,80,"56.2%",41,"24%",70,"18%",74,"15%",79,"33%",17,"7%",63,"37%",45,"44%"
"De'Aaron Fox",21.8,SAC,Point,1315,49,"51.3%",89,"44%",96,"30%",15,"7%",57,"37%",17,"3%",15,"16%",13,"19%"
"Tim Frazier",28.9,DET,Point,310,4,"43.5%",55,"28%",62,"22%",83,"23%",85,"45%",19,"3%",38,"24%",28,"27%"
"Markelle Fultz",21.4,ORL,Combo,1675,40,"48.7%",87,"44%",73,"23%",74,"17%",82,"40%",10,"2%",3,"13%",3,"16%"
"Daniel Gafford",21.0,CHI,Big,516,97,"68.8%",96,"87%",16,"10%",38,"3%",16,"13%",0,"0%",0,"0%",0,"0%"
"Danilo Gallinari",31.2,OKC,Big,1588,48,"55.0%",9,"21%",33,"14%",88,"15%",69,"29%",53,"6%",91,"44%",83,"49%"
"Langston Galloway",27.8,DET,Wing,1551,82,"56.6%",12,"14%",60,"17%",46,"8%",45,"25%",91,"25%",57,"36%",84,"61%"
"Darius Garland",19.7,CLE,Combo,1761,26,"47.2%",29,"23%",79,"24%",60,"13%",74,"37%",61,"9%",53,"32%",50,"40%"
"Marc Gasol",34.7,TOR,Big,966,36,"53.3%",9,"21%",61,"19%",72,"8%",64,"28%",47,"5%",94,"47%",84,"52%"
"Rudy Gay",33.2,SAS,Big,1201,13,"49.6%",13,"23%",86,"28%",90,"16%",94,"44%",74,"10%",62,"23%",62,"33%"
"Paul George",29.5,LAC,Wing,1121,59,"53.1%",34,"20%",54,"15%",88,"18%",81,"34%",23,"7%",69,"39%",51,"46%"
"Taj Gibson",34.3,NYK,Big,938,68,"58.7%",71,"62%",38,"15%",96,"19%",78,"34%",35,"2%",27,"2%",27,"4%"
"Harry Giles",21.5,SAC,Big,508,55,"56.0%",51,"48%",89,"29%",99,"23%",99,"52%",0,"0%",0,"0%",0,"0%"
"Shai Gilgeous-Alexander",21.3,OKC,Wing,2130,43,"50.8%",73,"38%",97,"28%",64,"12%",90,"40%",4,"3%",13,"19%",5,"22%"
"Rudy Gobert",27.3,UTA,Big,2006,98,"69.5%",97,"90%",16,"10%",0,"0%",11,"10%",0,"0%",0,"0%",0,"0%"
"Brandon Goodwin",24.0,ATL,Combo,370,31,"48.1%",50,"29%",61,"21%",40,"8%",47,"29%",52,"8%",65,"34%",58,"42%"
"Aaron Gordon",24.1,ORL,Forward,1772,31,"48.9%",66,"39%",69,"20%",81,"14%",80,"33%",10,"6%",21,"22%",10,"28%"
"Eric Gordon",30.8,HOU,Wing,919,31,"48.7%",50,"28%",18,"8%",10,"2%",7,"10%",13,"6%",96,"56%",85,"62%"
"Devonte' Graham",24.6,CHA,Point,2041,26,"49.2%",11,"17%",28,"14%",40,"11%",17,"26%",34,"4%",98,"54%",96,"58%"
"Treveon Graham",26.0,ATL,Forward,183,14,"44.4%",43,"30%",83,"22%",21,"2%",54,"24%",59,"14%",69,"32%",69,"46%"
"Treveon Graham",26.0,MIN,Forward,626,4,"40.1%",69,"40%",56,"17%",0,"0%",31,"17%",39,"12%",64,"31%",54,"43%"
"Jerami Grant",25.6,DEN,Big,1544,48,"54.9%",43,"42%",32,"14%",77,"9%",51,"23%",76,"12%",61,"23%",64,"35%"
"Danny Green",32.3,LAL,Wing,1440,75,"55.7%",24,"17%",21,"9%",34,"6%",18,"14%",98,"31%",67,"38%",93,"69%"
"Draymond Green",29.6,GSW,Forward,1219,20,"45.0%",49,"32%",66,"19%",67,"11%",73,"30%",6,"4%",71,"34%",40,"38%"
"JaMychal Green",29.3,LAC,Big,1009,31,"52.5%",19,"27%",11,"7%",30,"2%",10,"9%",87,"17%",96,"48%",92,"64%"
"Javonte Green",26.2,BOS,Wing,309,70,"55.0%",99,"59%",61,"17%",7,"1%",30,"18%",39,"10%",7,"13%",6,"23%"
"Jeff Green",33.1,UTA,Forward,546,33,"48.9%",44,"31%",73,"20%",37,"4%",56,"24%",86,"20%",37,"25%",66,"45%"
"Blake Griffin",30.6,DET,Big,512,1,"40.2%",42,"41%",36,"15%",50,"4%",34,"19%",72,"10%",71,"30%",70,"40%"
"Marko Guduric",24.6,MEM,Wing,396,22,"47.6%",56,"31%",30,"10%",45,"8%",33,"18%",61,"15%",55,"36%",61,"51%"
"Rui Hachimura",21.7,WAS,Big,1077,30,"52.4%",49,"47%",60,"19%",96,"20%",87,"39%",49,"5%",38,"10%",38,"14%"
"Tim Hardaway Jr.",27.6,DAL,Wing,1653,78,"56.1%",27,"18%",48,"14%",70,"13%",57,"28%",55,"14%",75,"41%",69,"55%"
"James Harden",30.1,HOU,Combo,2094,82,"53.8%",48,"29%",55,"19%",3,"1%",24,"21%",13,"3%",92,"48%",82,"51%"
