Player,Age,Team,Pos,MIN,"FT%","","SFLD%","","FFLD%","","AND1%",""
"Brian Cook",22.9,LAL,Big,393,83,"77.8%",0,"0.0%",0,"0.0%",0,""
"Omar Cook",21.7,POR,Point,134,"","",0,"0.0%",0,"0.0%",0,""
"Chris Crawford",28.4,ATL,Forward,1150,93,"88.0%",0,"0.0%",0,"0.0%",0,""
"Jamal Crawford",23.6,CHI,Combo,2770,76,"83.8%",0,"0.0%",0,"0.0%",0,""
"Austin Croshere",28.5,IND,Forward,950,98,"88.5%",0,"0.0%",0,"0.0%",0,""
"Eddy Curry",20.9,CHI,Big,2131,38,"67.0%",0,"0.0%",97,"0.1%",0,""
"Michael Curry",35.1,TOR,Combo,1221,79,"84.5%",0,"0.0%",0,"0.0%",0,""
"Samuel Dalembert",23.4,PHI,Big,2172,32,"64.9%",0,"0.0%",0,"0.0%",0,""
"Erick Dampier",28.3,GSW,Big,2401,33,"64.9%",0,"0.0%",0,"0.0%",0,""
"Antonio Daniels",28.6,OKC,Point,1486,81,"83.9%",0,"0.0%",0,"0.0%",0,""
"Marquis Daniels",22.8,DAL,Combo,971,44,"77.1%",0,"0.0%",0,"0.0%",0,""
"Antonio Davis",35.0,CHI,Big,2029,79,"76.8%",0,"0.0%",0,"0.0%",0,""
"Antonio Davis",35.0,TOR,Big,543,73,"75.5%",0,"0.0%",0,"0.0%",0,""
"Baron Davis",24.5,NOP,Combo,2685,0,"67.3%",0,"0.0%",0,"0.0%",0,""
"Dale Davis",34.6,POR,Big,1672,25,"61.3%",0,"0.0%",91,"0.0%",0,""
"Ricky Davis",24.1,BOS,Wing,1648,29,"74.1%",0,"0.0%",0,"0.0%",0,""
"Ricky Davis",24.1,CLE,Combo,793,3,"68.0%",0,"0.0%",0,"0.0%",0,""
"Andrew DeClercq",30.7,ORL,Big,1208,93,"81.5%",0,"0.0%",0,"0.0%",0,""
"Tony Delk",29.7,DAL,Combo,487,88,"85.7%",0,"0.0%",0,"0.0%",0,""
"Boris Diaw",21.5,ATL,Big,1848,20,"59.0%",0,"0.0%",0,"0.0%",0,""
"Dan Dickau",25.1,POR,Combo,130,"","75.0%",0,"0.0%",0,"0.0%",0,""
