Player,Age,Team,Pos,MIN,"BLK%","","STL%","","FOUL%","","fgOR%","","fgDR%","","ftOR%","","ftDR%",""
"John Collins",22.1,ATL,Big,1163,71,"2.5%",28,"0.9%",56,"3.8%",57,"8.2%",72,"20.7%",69,"3.9%",81,"41.7%"
"Mike Conley",32.0,UTA,Point,1008,17,"0.2%",15,"1.0%",30,"3.3%",52,"2.3%",43,"9.4%",0,"0.0%",59,"4.0%"
"Pat Connaughton",26.8,MIL,Wing,881,89,"1.3%",8,"0.7%",93,"2.1%",92,"4.8%",93,"15.3%",66,"1.2%",22,"2.2%"
"Quinn Cook",26.6,LAL,Combo,310,8,"0.2%",18,"1.0%",92,"2.2%",15,"1.3%",15,"8.1%",98,"4.5%",0,"0.0%"
"Robert Covington",28.8,MIN,Forward,1406,96,"1.6%",96,"2.3%",21,"4.2%",31,"2.6%",85,"16.9%",0,"0.0%",75,"27.7%"
"Robert Covington",28.8,HOU,Big,289,92,"4.1%",71,"1.4%",46,"4.1%",19,"3.7%",58,"18.5%",0,"0.0%",69,"36.4%"
"Allen Crabbe",27.5,ATL,Wing,495,28,"0.4%",41,"1.2%",67,"2.8%",33,"1.6%",30,"8.8%",0,"0.0%",82,"20.0%"
"Allen Crabbe",27.5,MIN,Wing,131,0,"0.0%",0,"0.0%",36,"3.5%",5,"0.7%",37,"9.7%",0,"0.0%",0,"0.0%"
"Torrey Craig",28.8,DEN,Wing,773,97,"2.0%",20,"0.9%",3,"5.4%",96,"5.7%",55,"11.2%",84,"2.4%",95,"31.7%"
"Jae Crowder",29.3,MIA,Big,268,17,"0.8%",99,"2.7%",43,"4.2%",1,"1.5%",56,"18.1%",83,"6.2%",28,"21.4%"
"Jae Crowder",29.3,MEM,Forward,1316,33,"0.5%",63,"1.5%",90,"2.5%",52,"3.0%",82,"16.6%",0,"0.0%",72,"26.9%"
"Jarrett Culver",20.6,MIN,Combo,1307,97,"1.4%",66,"1.6%",49,"3.1%",92,"4.4%",46,"9.3%",0,"0.0%",62,"6.2%"
"Seth Curry",29.1,DAL,Combo,1318,23,"0.3%",25,"1.1%",62,"2.8%",38,"1.8%",13,"8.0%",0,"0.0%",18,"1.3%"
"Stephen Curry",31.6,GSW,Point,112,89,"0.8%",59,"1.7%",57,"2.7%",76,"3.1%",93,"15.0%",0,"0.0%",0,"0.0%"
"Troy Daniels",28.2,LAL,Wing,373,7,"0.1%",7,"0.7%",62,"2.9%",47,"2.2%",7,"6.3%",89,"3.0%",0,"0.0%"
"Anthony Davis",26.6,LAL,Big,1744,88,"3.7%",89,"1.8%",90,"2.7%",44,"6.6%",71,"20.5%",61,"3.0%",8,"11.5%"
"Ed Davis",30.4,UTA,Big,240,53,"1.8%",90,"1.9%",2,"8.2%",71,"9.9%",87,"22.9%",0,"0.0%",95,"55.6%"
"Terence Davis",22.4,TOR,Combo,961,61,"0.6%",51,"1.4%",33,"3.6%",95,"4.7%",90,"14.1%",0,"0.0%",74,"8.0%"
"Dewayne Dedmon",30.2,SAC,Big,519,72,"2.5%",47,"1.1%",6,"6.6%",56,"8.1%",73,"20.8%",87,"7.1%",96,"56.0%"
"Dewayne Dedmon",30.2,ATL,Big,137,93,"4.1%",69,"1.3%",1,"8.6%",2,"1.7%",94,"26.4%",0,"0.0%",81,"42.9%"
"Matthew Dellavedova",29.1,CLE,Combo,617,3,"0.1%",33,"1.1%",5,"4.4%",48,"2.0%",7,"6.7%",0,"0.0%",41,"3.7%"
"DeMar DeRozan",30.2,SAS,Forward,1899,18,"0.4%",52,"1.3%",58,"3.1%",13,"1.9%",58,"13.8%",73,"2.6%",58,"22.4%"
