Player,Age,Team,Pos,MIN,Usage,"",PSA,"","AST%","","AST:Usg","","TOV%",""
"Luke Walton",23.5,LAL,Big,618,50,"15.8%",59,104.2,99,"24.8%",100,1.57,12,"19.1%"
"Charlie Ward",33.0,SAS,Point,373,23,"18.5%",26,90.8,2,"17.1%",0,0.92,35,"15.9%"
"Charlie Ward",33.0,NYK,Combo,808,53,"22.0%",98,114.7,100,"37.3%",100,1.69,16,"17.9%"
"Earl Watson",24.3,MEM,Point,1636,74,"23.0%",15,88.6,95,"39.3%",92,1.71,24,"17.5%"
"Clarence Weatherspoon",33.1,NYK,Big,208,22,"13.2%",82,110.2,81,"10.1%",89,0.77,40,"15.5%"
"Clarence Weatherspoon",33.1,HOU,Big,632,42,"15.1%",70,106.8,25,"5.1%",29,0.34,74,"12.7%"
"Chris Webber",30.6,SAC,Big,832,99,"28.7%",16,91.3,98,"22.8%",92,0.79,86,"11.4%"
"Bonzi Wells",27.0,MEM,Wing,1445,89,"25.5%",34,97.3,57,"13.2%",21,0.52,14,"15.7%"
"Bonzi Wells",27.0,POR,Wing,402,83,"23.8%",6,85.4,65,"14.8%",44,0.62,20,"15.1%"
"Jiri Welsch",23.7,BOS,Wing,2153,39,"17.7%",65,105.5,60,"13.8%",67,0.78,19,"15.2%"
"David Wesley",32.9,NOP,Wing,1997,69,"21.4%",31,96.5,73,"16.0%",63,0.75,78,"10.6%"
"David West",23.1,NOP,Big,886,42,"15.0%",60,104.8,90,"12.3%",95,0.82,46,"15.1%"
"Jahidi White",27.6,PHX,Big,862,43,"15.1%",67,106.1,1,"1.1%",1,0.07,5,"22.2%"
"Rodney White",23.3,DEN,Forward,917,89,"24.0%",46,103.4,61,"11.6%",30,0.48,52,"14.1%"
"Chris Whitney",32.0,WAS,Point,178,0,"13.5%",42,100.0,0,"15.2%",13,1.13,95,"11.0%"
"Chris Wilcox",21.1,LAC,Big,1326,70,"17.7%",88,112.8,47,"6.7%",38,0.38,45,"15.1%"
"Mike Wilks",24.4,HOU,Combo,106,24,"17.9%",76,107.1,67,"23.3%",96,1.31,53,"13.5%"
"Aaron Williams",32.0,BKN,Big,1255,60,"16.6%",84,111.0,86,"11.0%",84,0.66,11,"19.3%"
"Alvin Williams",29.2,TOR,Point,1728,21,"18.3%",34,94.5,23,"23.8%",45,1.30,85,"11.8%"
"Eric Williams",31.2,CLE,Wing,1371,48,"18.1%",25,94.4,38,"11.0%",39,0.61,82,"10.3%"
"Eric Williams",31.2,BOS,Forward,508,74,"21.8%",85,109.5,39,"9.1%",24,0.42,78,"12.7%"
"Frank Williams",23.6,NYK,Combo,668,71,"23.7%",47,98.6,87,"27.6%",82,1.16,7,"18.7%"
"Jason Williams",27.9,MEM,Point,2104,71,"22.4%",81,105.4,85,"36.5%",79,1.63,69,"12.6%"
"Jerome Williams",30.4,TOR,Big,398,9,"11.3%",76,108.5,18,"4.2%",37,0.37,1,"25.7%"
"Jerome Williams",30.4,CHI,Forward,1204,9,"13.6%",57,104.0,28,"8.4%",70,0.62,61,"13.8%"
"Mo Williams",20.8,UTA,Combo,713,56,"22.7%",9,87.7,51,"19.8%",38,0.87,58,"13.1%"
"Scott Williams",35.6,PHX,Big,270,55,"16.4%",78,109.3,13,"3.8%",10,0.23,99,"6.3%"
"Scott Williams",35.6,DAL,Big,248,40,"14.9%",6,84.9,39,"5.7%",42,0.38,91,"10.6%"
"Shammond Williams",28.5,ORL,Combo,486,22,"17.7%",69,105.2,56,"22.0%",89,1.24,82,"11.0%"
"Shammond Williams",28.5,NOP,Point,237,94,"26.3%",8,82.4,94,"39.1%",65,1.49,27,"16.7%"
"Corliss Williamson",29.9,DET,Forward,1545,70,"21.8%",80,109.2,17,"7.3%",9,0.34,20,"15.5%"
"Kevin Willis",41.1,SAS,Big,275,89,"21.9%",38,100.0,14,"3.8%",3,0.17,26,"16.7%"
"Loren Woods",25.3,MIA,Big,473,25,"13.5%",35,99.1,5,"2.7%",6,0.20,20,"17.4%"
"Qyntel Woods",22.7,POR,Wing,628,68,"21.2%",7,85.9,48,"11.5%",25,0.54,5,"17.9%"
"Metta World Peace",23.9,IND,Wing,2699,92,"26.4%",55,102.5,84,"18.5%",55,0.70,45,"13.1%"
"Lorenzen Wright",27.9,MEM,Big,1653,71,"18.0%",26,95.6,53,"7.2%",50,0.40,85,"11.6%"
